id,framework,language,link,description,popularity,dateAdded,images
25,Bootstrap,CSS,http://getbootstrap.com/,"Bootstrap easily and efficiently scales your websites and applications with a single code base, from phones to tablets to desktops with CSS media queries.",4,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
26,LESS,CSS,http://lesscss.org/,"Less is a CSS pre-processor, meaning that it extends the CSS language, adding features that allow variables, mixins, functions and many other techniques that allow you to make CSS that is more maintainable, themable and extendable.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
27,Skeleton,CSS,http://getskeleton.com/,"You should use Skeleton if you're embarking on a smaller project or just don't feel like you need all the utility of larger frameworks. Skeleton only styles a handful of standard HTML elements and includes a grid, but that's often more than enough to get started. In fact, this site is built on Skeleton and has ~200 lines of custom CSS (half of which is the docking navigation).",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
28,Foundation,CSS,http://foundation.zurb.com/,"Foundation is a family of responsive front-end frameworks that make it easy to design beautiful responsive websites, apps and emails that look amazing on any device. Foundation is semantic, readable, flexible, and completely customizable. We?re constantly adding new resources and code snippets.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
29,Gumby,CSS,http://www.gumbyframework.com/,"Gumby Framework is a flexible, responsive CSS Framework, Powered by SASS. Create rapid and logical page layout and app prototypes with a flexible and responsive grid system and UI kit.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
30,Base,CSS,http://getbootstrap.com/2.3.2/base-css.html,Fundamental HTML elements styled and enhanced with extensible classes.,1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
31,Compass,CSS,http://compass-style.org/,Compass is an open-source CSS authoring framework which uses the Sass stylesheet language to make writing stylesheets powerful and easy.,1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
32,Columnal,CSS,http://www.columnal.com/,"Columnal makes responsive prototyping a little easier. It is 1140px wide, but since it is fluid, will respond to the width of most browsers. It is not recommended for production use, it is intended as a rapid prototyping tool only.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
33,Profound,CSS,http://www.profoundgrid.com/,"A responsive grid system for fixed and fluid layouts. Built in SCSS, it gives you flexibility and full control.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
34,Goldilocks,CSS,http://goldilocksapproach.com/,"The Goldilocks Approach uses a combination of Ems, Max-Width, Media Queries and Pattern Translations to consider just three states that allow your designs to be resolution independent.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
35,InuitCSS,CSS,https://github.com/csswizardry/inuit.css/,"It is a Sass based, Object Oriented framework that is full of objects and abstractions. inuit.css provides little-to-no design which means no undoing things, no deleting CSS and no adhering to other peoples? design decisions.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
36,Blueprint,CSS,http://www.blueprintcss.org/,"Blueprint is a CSS framework, which aims to cut down on your development time. It gives you a solid foundation to build your project on top of, with an easy-to-use grid, sensible typography, useful plugins, and even a stylesheet for printing.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
37,YAML,CSS,http://www.yaml.de/,"A modular CSS framework for truly flexible, accessible and responsive websites",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
38,Gridlock,CSS,https://github.com/FormstoneClassic/Gridlock,A responsive CSS grid system. Part of the Formstone Library.,1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
39,Amazium,CSS,http://www.amazium.co.uk/,"Amazium is built to do all the hard work of resizing your content using 4 media queries (1200px, 960px, 768px & < 767px)",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
40,34 Grid,CSS,http://34grid.com/,"34Grid is a Responsive Grid System based on "equally distributed columns" layout basis. 34Grid provides equally distributed columns for each row.""4Grid is a Responsive Grid System based on "equally distributed columns" layout basis. 34Grid provid""Grid is a Responsive Grid System based on "equally distr""rid is a Resp",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
41,Gridiculo.us,CSS,http://gridiculo.us/,A fully responsive grid boilerplate that takes you all the way from 1200px on down to 320px.,1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
42,Ingrid,CSS,http://piira.se/projects/ingrid/,"Ingrid is a lightweight and fluid CSS layout system, whose main goal is to reduce the use of classes on individual units. Making it feel a bit less obtrusive and bit more fun to reflow for responsive layouts.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
43,Kube,CSS,http://imperavi.com/kube/,"Kube is one of the world's most advanced and flexible frameworks. Kube helps you spend less time on routine tasks and more time creating amazing products. Focus on success, and Kube will cover the technology behind it.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
44,Ivory,CSS,http://weice.in/ivory/,"IVORY Framework is 12 column fluid width grid. In general 12 column is dividable by 2, 3, 4, 6, 12 equal parts but our framework can also be dividable by 5 and 8 equal parts also.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
45,Unsemantic,CSS,http://unsemantic.com/,"Unsemantic is a fluid grid system that is the successor to the 960 Grid System. It works in a similar way, but instead of being a set number of columns, it's entirely based on percentages.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
46,Toast,CSS,https://daneden.github.io/Toast/,"Twelve columns. Six columns. Nine columns. As many columns as you want, in as many combinations as you want.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
47,Sassaparilla,CSS,http://sass.fffunction.co/,"Sassaparilla is a fast way to start your responsive web design projects that harnesses the power of Sass and Compass. It comes with just enough to get you on your way, and no unnecessary extras, so you can spend less time deleting what you don?t need and more time building.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
48,Lithium,PHP,http://li3.me/,"li3 is the first and only major PHP framework built from the ground up for PHP 5.3+, and the first to break ground into major new technologies, including bridging the gap between relational and non-relational databases through a single, unified API.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
49,Laravel,PHP,http://laravel.com/,"Value elegance, simplicity, and readability? You?ll fit right in. Laravel is designed for people just like you. If you need help getting started, check out?Laracasts?and our?great documentation.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
50,Aiki,PHP,http://aiki.softwaresea.com/Linux-software-download/aiki,"Aiki Framework?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows designers and programmers to easily create and work with existing content management systems from the web.""iki Framework?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows designers and programmers to easily create and work with existing content management system""ki Framework?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows designers and programmers to easily create and work with existing content man""i Framework?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows designers and programmers to easily create and work with existin"" Framework?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows designers and programmers to easily create and work ""Framework?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows designers and programmers to easily creat""ramework?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows designers and programmers to ea""amework?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows designers and programm""mework?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows designers and ""ework?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows designe""work?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that allows d""ork?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that all""rk?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?that""k?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework?t""?" is a flexible?PHP?+?MYSQL?(LAMP)?web application framework""" is a flexible?PHP?+?MYSQL?(LAMP)?web application framewor"" is a flexible?PHP?+?MYSQL?(LAMP)?web application framewor",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
51,Apigility,PHP,https://apigility.org/,"Separating presentation logic from data provides the flexibility to support multiple client form factors, and future-proofs apps to allow behind-the-scenes change without breaking user interfaces. With Apigility, you can take the code that powers your business, and then API-enable it.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
52,Ayoola,PHP,http://planlodge.com/techconsume/no-website.html,"Ayoola Framework was written in PHP, Javascript, HTML and CSS. It was designed so you may never need to learn any of those languages.",1,10/23/15,http://planlodge.com/techconsume/recipientimages/empty-avatar.jpg
